,0,1
0,2038.jpg,"a bedroom with a bed, table, and a window "
1,1588.jpg,a bed room with a view of the ocean 
2,932.jpg,two beds in a room with a white bedspread 
3,997.jpg,"a bedroom with a bed, chair, and a lamp "
4,2150.jpg,a bed room with two beds and a lamp 
5,1331.jpg,a bed with a wooden headboard and a black and white bedspread 
6,415.jpg,a bed room with a bed and a lamp 
7,2972.jpg,"a hotel room with a bed, desk, and television "
8,701.jpg,a white bed with a white pillow and a white blanket 
9,2997.jpg,a bed with a black couch and a black pillow 
10,739.jpg,"a bedroom with a bed, chair, and a lamp "
11,934.jpg,a bed with a white bedspread and a lamp 
12,917.jpg,"a bedroom with a bed, chair, and a lamp "
13,2544.jpg,"a hotel room with a bed, desk, chair, and a lamp "
14,2848.jpg,a white room with a white bed and a white wall 
15,2480.jpg,"a bathroom with a tub, sink and toilet "
16,1336.jpg,"a hotel room with a bed, chair, and a tv "
17,1839.jpg,a child is sitting on a bed in a room 
18,86.jpg,a bed with a white bedspread and a white comforter 
19,626.jpg,a bed with a white comforter and a white comforter 
20,60.jpg,"a bedroom with a bed, a lamp, and a dresser "
21,2649.jpg,"a living room with a couch, a fireplace, and a window "
22,2985.jpg,a bed with a red blanket and a blue comforter 
23,957.jpg,a bed with a stuffed animal on it 
24,803.jpg,"a bedroom with a bed, chair, and a lamp "
25,438.jpg,a bed with a white bedspread and a blue comforter 
26,2878.jpg,"a bedroom with a bed, a window, and a dresser "
27,2725.jpg,a bed with a white bedspread and a blue comforter 
28,1422.jpg,a bed with a red bedspread and a red headboard 
29,2538.jpg,"a living room with a couch, table, and window "
30,1282.jpg,a bedroom with a bed and a window 
31,2306.jpg,"a bedroom with a bed, a desk, and a painting "
32,751.jpg,a bed with a white bedspread and a blue comforter 
33,2141.jpg,"a hotel room with a bed, desk, and nightstand "
34,1005.jpg,a bed with a red blanket and a blue comforter 
35,2253.jpg,a bed with a white comforter and pillows 
36,150.jpg,a bed with a white bedspread and a white bedspread 
37,2905.jpg,a bed with a white bedspread and a white bedspread 
38,2283.jpg,"a hotel room with a couch, coffee table and a television "
39,391.jpg,a bedroom with a bed and a fireplace 
40,1960.jpg,a bed with a blue blanket and a blue pillow 
41,2059.jpg,"a bedroom with a bed, a lamp, and a window "
42,241.jpg,a bed with a white comforter and a white pillow 
43,818.jpg,a bed with a white blanket and a white bedspread 
44,2899.jpg,"a hotel room with a bed, desk, and television "
45,2185.jpg,a bed room with two beds and a window 
46,2697.jpg,"a bedroom with a bed, a dresser, and a window "
47,350.jpg,a bed with a white bedspread and a black head board 
48,2447.jpg,"a hotel room with a bed, table, and chairs "
49,1028.jpg,"a bedroom with a bed, chair, and a window "
50,1139.jpg,"a bed room with a bed, chair, and a painting on the wall "
51,2119.jpg,a bed with a wooden headboard and a black and white bedspread 
52,1318.jpg,"a bedroom with a bed, dresser, and a mirror "
53,1480.jpg,a bed with a white blanket and pillows in a bedroom 
54,1870.jpg,a bed with a white bedspread and a white wall 
55,2096.jpg,a bed with a wooden headboard and a wooden headboard 
56,1956.jpg,a bed with a white comforter and pillows 
57,1178.jpg,a bed with a red and white striped bedspread 
58,1475.jpg,"a living room with a couch, a bookcase, and a book shelf "
59,236.jpg,a living room with a large bed and a large window 
60,2241.jpg,"a bedroom with a bed, a chair, and a lamp "
61,300.jpg,"a bedroom with a bed, chair, and a window "
62,596.jpg,"a bedroom with a bed, chair, and a table "
63,1736.jpg,"a bedroom with a bed, desk, television and a chair "
64,2814.jpg,"a hotel room with a bed, chair, and a television "
